Date,User,Tweet
2022-10-17 20:28:40+00:00,jontaylor1976,@adamaicken19992 @Monica76492580 Adam I might be wrong when I say this but the energy crisis has been sorted while Stormont isn’t up and running so it’s a bit of a red herring that things can’t be done with out stormont. The people of Northern Ireland are getting the same entitlement to energy payments as all.
2022-10-12 23:42:32+00:00,CarollynR40,"@RepPatFallon That's funny because Liz Truss Prime Minister of Great Britain &amp; Northern Ireland claims it's due to an Energy Crisis which was created by your sponsors in gas &amp; power 💰
She is right wing but obviously not off the chart like you
The European Nations blame your friend Putin https://t.co/nQFA4dg4mh"
2022-10-12 18:33:25+00:00,Johnson_747,"Has the Conservative Party now consigned itself to the role of opposition⁉️
Because they can’t resolve
Illegal Immigration 
Energy Crisis 
Northern Ireland Protocol 
The second question is has the Labour Party got the answer⁉️"
2022-10-12 14:25:34+00:00,IdeallyaNews,Energy crisis in Europe: The wheels in the industry do not turn - #northern_ireland #the_wheels #industry #belfast #energy #europe https://t.co/DSFZxDYEOd
2022-10-12 09:49:42+00:00,PrimeNumberOne,"@catrinaf01 @SkyNews @Keir_Starmer @UKLabour @Conservatives 3. 1974 - @UKLabour get into power (narrowly) following the #ToryRescession following a mishandling of the energy crisis (sound familiar), a poor British economy, mishandling of Northern Ireland."
2022-10-12 07:50:06+00:00,Politics_Tday,UPDATE;  Global tensions mount as EU Ministers set to meet again on energy crisis: Inside Politics: future of concrete block levy looks uncertain; wrangling over Northern Ireland Protocol Bill continues VIA @IrishTimes
2022-10-11 12:18:07+00:00,ONIP1966,"The energy crisis in Northern Ireland can be attributed to the EU VAT and excise rules. 
Although the cost of living crisis is rife across UK - NI will feel the pinch even more due to the NI Protocol."
2022-10-08 12:30:10+00:00,shanemuk,"It clearly hasn't dawned on Jeffrey that with the Energy Crisis, Cost of Living Crisis, Ukraine Crisis, Economic Crisis and general Tory Crisis Crisis, Liz Truss needs the EU a *lot* more than she needs the DUP or even Northern Ireland, and Steve Baker proved that the other day."
2022-10-08 01:20:16+00:00,TheinSwe7426,"Steve Baker, the Northern Ireland minister, said the energy crisis sparked by the war in Ukraine meant the UK had to take “big, bold steps” to repair ties with Europe. https://t.co/T0HHJaB35H"
2022-10-07 16:02:12+00:00,mmago75645,@MailOnline @lyla_orr_ But Northern Ireland is not a political football to be kicked &amp; kicked again by euro totalitarians looking for an energy crisis distraction - just because of Brexit …….right ?
2022-10-06 17:13:22+00:00,LeoDochertyUK,"Good to meet @ValedeAlmeidaEU 🇬🇧🇪🇺

We discussed our close cooperation in support of Ukraine, the energy crisis, and finding a solution on the Northern Ireland Protocol https://t.co/7bJSibdQ3b"
